Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Twitter,ВКонтакте,YouTube,Skype,Широта,Долгота,2GIS URL
Суши-маркет,служба доставки и продажи суши и роллов,Доставка готовых блюд; Быстрое питание,"Дмитрия Мартынова, 12",1 этаж,660020,Покровский,Центральный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+07:00,88007006776,,,,,http://krasnoyarsk.sushi-market.com,,,https://vk.com/sushimarket_com,,,56.038874,92.88126,https://2gis.com/firm/70000001030061929
Magic burger,"кафе по продаже шаурмы, бургеров и денера",Быстрое питание; Доставка готовых блюд,"проспект Мира, 80",,660049,,Центральный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 09:00-22:30; Вт: 09:00-22:30; Ср: 09:00-22:30; Чт: 09:00-22:30; Пт: 09:00-22:30; Сб: 09:00-22:30; Вс: 09:00-22:30,+07:00,89233547535,83912147535,,2147535@bk.ru,,http://magic-burger.ru,,,https://vk.com/magic_burger,,,56.012484,92.871381,https://2gis.com/firm/70000001063957334
Thermos foodtruck,,Быстрое питание,"Карла Маркса, 151/7",,660017,,Центральный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,,+07:00,,,,,,,,,,,,56.007008,92.853145,https://2gis.com/firm/70000001061420717
Шашлычков Рыжик,служба доставки шашлыков,Доставка готовых блюд; Быстрое питание,"Авиаторов, 7а",,660077,Взлётка,Советский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+07:00,83912888388,89535984877,,,,http://шашлычков-рыжик.рф/,,,,,,56.044987,92.919087,https://2gis.com/firm/70000001021491413
Чайхана,кафе быстрого питания,Быстрое питание; Доставка готовых блюд,"Калинина, 82/1",,660061,,Октябрьский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00,+07:00,89631880087,,,,,,,,,,,56.04002,92.785694,https://2gis.com/firm/70000001032797444
KFC,сеть ресторанов быстрого обслуживания,Быстрое питание; Доставка готовых блюд,"Мужества, 10",3 этаж,660020,Покровский,Центральный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+07:00,84952408424,,,,,http://kfc.ru/?utm_source=2gis_mgcom&utm_medium,,,https://vk.com/kfcrussia,,,56.034174,92.884729,https://2gis.com/firm/70000001032086431
Ролл&fils,кафе,Быстрое питание; Доставка готовых блюд,"60 лет Октября, 48",2 этаж,660078,,Свердловский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+07:00,83912547772,89135397772,,,,http://rollfils.ru,,,https://vk.com/club106035867,,,55.977125,92.855508,https://2gis.com/firm/70000001006573839
Шаверма,кафе быстрого питания,Быстрое питание,"Новосибирская, 41/7",,660028,,Октябрьский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+07:00,89631920477,,,,,,,,,,,56.017535,92.803335,https://2gis.com/firm/70000001045466957
Чебурекми,чебуречная,Быстрое питание; Доставка готовых блюд,"Вильского, 24 ст2",,660062,Серебряный,Октябрьский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+07:00,89135329990,,,,,http://cheburek.me,,,https://vk.com/cheburek_me_krsk,,,56.022517,92.759626,https://2gis.com/firm/70000001056065264
Шаурмания,кафе быстрого питания,Быстрое питание,"Крупской, 1д/2",,660062,БСМП - ГорДК,Октябрьский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+07:00,83912095509,,,,,,,,,,,56.021478,92.78019,https://2gis.com/firm/70000001046526126
Хочу шаурму,кафе быстрого питания,Быстрое питание,"проспект Мира, 29",,660049,,Центральный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+07:00,89233410202,,,,,,,,,,,56.012462,92.881786,https://2gis.com/firm/70000001061435093
Шаверма у 1-ой парадной,,Быстрое питание; Доставка готовых блюд,"Лесников, 25",,660006,,Свердловский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+07:00,89059988993,89029421153,,,,,,,,,,55.983569,92.803007,https://2gis.com/firm/70000001046376300
Inwok,лапшичная,Быстрое питание; Доставка готовых блюд; Кафе,"Молокова, 1 ст1",,660077,Взлётка,Советский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+07:00,83912151822,,,,,,,,https://vk.com/inwok24,,,56.046225,92.916899,https://2gis.com/firm/70000001036932685
Chicken dener,сеть кафе быстрого питания,Быстрое питание,"Аэровокзальная, 1а",,660022,,Советский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+07:00,88005000007,,,bridov@list.ru,otdel-kachestvo@mail.ru,http://chickendener.ru,,,https://vk.com/chiken_dener,,,56.027035,92.90788,https://2gis.com/firm/70000001043428742
"О, пончик!",,Быстрое питание; Доставка готовых блюд,"Телевизорная, 69 киоск",,660028,,Октябрьский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 12:00-21:00; Вт: 12:00-21:00; Ср: 12:00-21:00; Чт: 12:00-21:00; Пт: 12:00-21:00; Сб: 12:00-21:00; Вс: 12:00-21:00,+07:00,83912860828,,,,,,,,,,,56.022202,92.803899,https://2gis.com/firm/70000001044834920
Чхао Шан,кафе,Доставка готовых блюд; Быстрое питание,"Мужества, 10",3 этаж,660020,Покровский,Центральный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+07:00,,,,,,,,,https://vk.com/chaoshan,,,56.034317,92.884709,https://2gis.com/firm/70000001038668832
Шашлык сервис,кафе,Мясо / Полуфабрикаты; Быстрое питание; Доставка готовых блюд; Кафе; Столовые,"проспект Котельникова, 23",,660015,,,,Емельяновский район,Красноярский край,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+07:00,89620842424,,,,,http://шашлыксервис.рф,http://shashlikservis.com,,,,,56.047367,92.83622,https://2gis.com/firm/70000001045019343
Суши Дом,служба доставки готовых блюд,Доставка готовых блюд; Быстрое питание,"Батурина, 30 к2",1 этаж,660077,Слобода Весны,Советский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-23:00,+07:00,83912193014,83912193040,,,,http://www.susidom.ru,,,https://vk.com/krsksusidom,,,56.045393,92.896668,https://2gis.com/firm/985690700617006
Бургер Кинг,сеть ресторанов быстрого питания,Быстрое питание; Доставка готовых блюд,"Дмитрия Мартынова, 12",1 этаж,660020,Покровский,Центральный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-22:55; Вт: 10:00-22:55; Ср: 10:00-22:55; Чт: 10:00-22:55; Пт: 10:00-22:55; Сб: 10:00-22:55; Вс: 10:00-22:55,+07:00,84955445000,,,bk-598@burgerking.ru,,http://burgerkingrus.ru,,,https://vk.com/burgerking,https://youtube.com/user/BurgerKingRU,,56.03975,92.881129,https://2gis.com/firm/70000001029838199
Pokewoke,служба доставки еды,Быстрое питание; Доставка готовых блюд; Суши-бары / рестораны; Кафе; Рестораны,"Алексеева, 54а",,660077,Слобода Весны,Советский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+07:00,83912911010,,,jastotziv@gmail.com,,http://pokewoke.ru,,,https://vk.com/pokewoke_krsk,,,56.044378,92.894524,https://2gis.com/firm/70000001038162581
DёnDёner,кафе быстрого питания,Быстрое питание; Доставка готовых блюд,"проспект Мира, 64",1 этаж,660049,,Центральный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+07:00,89233682410,,,kitus99@mail.ru,,,,,https://vk.com/dener24,,,56.012385,92.87493,https://2gis.com/firm/70000001024129497
Fire food,кафе быстрого питания,Быстрое питание,"Высотная, 2ж",,660062,,Октябрьский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+07:00,83912150140,,,,,,,,https://vk.com/firefood24,,,56.019819,92.792789,https://2gis.com/firm/70000001044012175
Top dog,,Быстрое питание,"Ярыгинская набережная, 11",1 этаж,660012,Пашенный,Свердловский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 10:00-11:00; Вс: 10:00-11:00,+07:00,89831653252,,,,,,,,,,,55.988141,92.864422,https://2gis.com/firm/70000001062636363
Бургеркит,кафе быстрого питания,Быстрое питание; Доставка готовых блюд,"Вильского, 26/3",,660062,Серебряный,Октябрьский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+07:00,83912496564,,,,,http://burgerkit.ru,,,https://vk.com/burgerwhale,,,56.022235,92.759798,https://2gis.com/firm/70000001060627283
SushiBucks,суши-бар,Быстрое питание,"Красной Армии, 10",0-М5 отдел; цокольный этаж,660017,,Центральный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+07:00,,,,,,,,,,,,56.014326,92.855882,https://2gis.com/firm/985690700301942
Best Friends Foodtruck,кофейня,Быстрое питание,"Дубровинского, 1а киоск",,660049,,Центральный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-01:00,+07:00,89960548158,,,,,,,,,,,56.008263,92.884878,https://2gis.com/firm/70000001024497160
Банzzик,суши-бар,Доставка готовых блюд; Быстрое питание,"Мужества, 10",3 этаж,660020,Покровский,Центральный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+07:00,83912805006,,,,,http://banzzik.nethouse.ru,,,https://vk.com/sushizzbar24,,,56.03406,92.884745,https://2gis.com/firm/70000001061123003
Chicken dener,сеть кафе быстрого питания,Быстрое питание,"9 Мая, 12/1",,660125,3-й микрорайон жилмассива Северный,Советский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+07:00,88005000007,,,bridov@list.ru,otdel-kachestvo@mail.ru,http://chickendener.ru,,,https://vk.com/chiken_dener,,,56.06463,92.925427,https://2gis.com/firm/70000001043847713
Bon appetit,,Быстрое питание,"Ладо Кецховели, 67/2 киоск",,660001,,Октябрьский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,,+07:00,,,,,,,,,,,,56.014689,92.813114,https://2gis.com/firm/70000001059288946
Coffee room,,Быстрое питание,"Свободный проспект, 74д ст33/1",,660041,СНТ Сад №1 Локомотивного депо,Октябрьский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+07:00,89082109019,,,,,,,,,,,56.007778,92.773165,https://2gis.com/firm/70000001049117820
Моя шаурма,точка быстрого питания,Быстрое питание,"Перенсона, 4",,660049,,Центральный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+07:00,89835756762,,,,,,,,,,,56.009467,92.867602,https://2gis.com/firm/70000001060109318
Shashlyk_jan,,Быстрое питание; Доставка готовых блюд,"Шахтёров, 49а",,660020,Покровский,Центральный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+07:00,89676022020,83912710044,,,,,,,https://vk.com/shashlyk_jan124,,,56.038548,92.889151,https://2gis.com/firm/70000001047328626
Pinkpizza,пиццерия,Быстрое питание; Доставка готовых блюд,"Телевизорная, 1 ст4",1 этаж; левое крыло,660028,,Октябрьский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+07:00,83919897764,83912496564,,,,http://pinkpizza.ru,,,https://vk.com/pinkpizzakrsk,,,56.021575,92.7983,https://2gis.com/firm/70000001046766403
Grillpizza,кафе,Доставка готовых блюд; Быстрое питание,"Петра Ломако, 12",1 этаж,660077,Слобода Весны,Советский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+07:00,83912562676,89138370676,,,,http://grillpizza24.ru,,,https://vk.com/grillpizza,,,56.054279,92.8914,https://2gis.com/firm/70000001030596300
DёnDёner,кафе быстрого питания,Быстрое питание; Доставка готовых блюд,"Калинина, 2д",,660048,,Железнодорожный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+07:00,89233083875,,,kitus99@mail.ru,,,,,https://vk.com/dener24,,,56.035308,92.829244,https://2gis.com/firm/70000001029438715
Давидо,кафе быстрого питания,Быстрое питание,"Свободный проспект, 80",1 этаж,660041,,Октябрьский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 08:00-24:00,+07:00,83912812030,,,,,,,,,,,56.005396,92.769002,https://2gis.com/firm/70000001025270051
Бургер Кинг,сеть ресторанов быстрого питания,Быстрое питание; Доставка готовых блюд,"Мужества, 10",3 этаж,660020,Покровский,Центральный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 12:00-20:50; Вт: 12:00-20:50; Ср: 12:00-20:50; Чт: 12:00-20:50; Пт: 12:00-20:50; Сб: 12:00-20:50; Вс: 12:00-20:55,+07:00,84955445000,,,feedback@burgerking.ru,,http://burgerkingrus.ru,,,https://vk.com/burgerking,https://youtube.com/user/BurgerKingRU,,56.034399,92.884698,https://2gis.com/firm/70000001039043021
Победа,чебуречная,Быстрое питание,"Семафорная, 261г/6",,660064,,Свердловский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+07:00,89994491115,,,,,,,,https://vk.com/chepobeda,,,55.992051,92.917367,https://2gis.com/firm/70000001044028795
Казан&Теппан,служба доставки,Доставка готовых блюд; Быстрое питание,"Взлётная, 2",,660135,4-й микрорайон жилмассива Взлётка,Советский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+07:00,83912190787,,,,,http://казан-теппан.рф,,,,,,56.034219,92.917888,https://2gis.com/firm/70000001048620463
Nur dener,кафе быстрого питания,Быстрое питание,"Тимирязева, 43/1",,660018,,Железнодорожный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+07:00,89333250618,,,,,,,,https://vk.com/lnnovapp,https://youtube.com/channel/UCu8ojX2HssCjnbc6TGKc79w,,56.021673,92.821849,https://2gis.com/firm/70000001045914015
Донерс,ресторан быстрого питания,Быстрое питание,"проспект им. газеты Красноярский Рабочий, 62",,660037,,Ленинский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+07:00,89029510081,,,,,http://doners-club.ru,,,https://vk.com/club212148326,,,56.01198,92.969173,https://2gis.com/firm/70000001059365040
Fire food,кафе быстрого питания,Быстрое питание,"Борисова, 14",1 этаж,660074,Студгородок,Октябрьский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+07:00,83912150140,,,,,,,,https://vk.com/firefood24,,,55.993713,92.790455,https://2gis.com/firm/70000001026963829
Cheski,,Быстрое питание,"Молокова, 21",1 этаж,660135,Взлётка,Советский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 09:30-22:00; Вт: 09:30-22:00; Ср: 09:30-22:00; Чт: 09:30-22:00; Пт: 09:30-22:00; Сб: 09:30-22:00; Вс: 09:30-22:00,+07:00,89233249113,,,,,,,,,,,56.038224,92.899988,https://2gis.com/firm/70000001057229145
Gurman,бистро,Быстрое питание,"Семафорная, 239а/1",,660064,Предмостная площадь,Свердловский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 10:00-21:00,+07:00,89232720220,,,,,,,,,,,55.986244,92.893668,https://2gis.com/firm/70000001045376523
Хочу шашлычок,,Быстрое питание; Доставка готовых блюд,"Свободный проспект, 74ж",,660041,,Октябрьский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+07:00,83912143403,,,,,,,,,,,56.010142,92.778917,https://2gis.com/firm/70000001044047506
Chicken dener,сеть кафе быстрого питания,Быстрое питание,"проспект им. газеты Красноярский Рабочий, 120",1 этаж,660095,Торговый центр,Кировский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+07:00,88005000007,,,bridov@list.ru,otdel-kachestvo@mail.ru,http://chickendener.ru,,,https://vk.com/chiken_dener,,,56.004333,92.930227,https://2gis.com/firm/70000001038536411
Шашлычный магазин,,Доставка готовых блюд; Быстрое питание,"проспект им. газеты Красноярский Рабочий, 160/10",,660064,Южный Берег,Свердловский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 11:00-22:00; Вт: 11:00-22:00; Ср: 11:00-22:00; Чт: 11:00-22:00; Пт: 11:00-22:00; Сб: 11:00-22:00; Вс: 11:00-22:00,+07:00,89029923393,,,,,http://shashlyki24.ru,,,https://vk.com/id542395373,,,55.995561,92.899899,https://2gis.com/firm/70000001032344136
Киоск фастфудной продукции,,Быстрое питание,"Копылова, 42 киоск",,660001,,Железнодорожный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+07:00,89333271525,,,,,,,,,,,56.013222,92.825193,https://2gis.com/firm/70000001039521314
Баскин Роббинс,кафе-мороженое,Мороженое; Быстрое питание,"Белинского, 8",3 этаж,660032,,Советский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+07:00,89131746494,,,,,http://baskinrobbins.ru,,,https://vk.com/club94013727,,,56.020445,92.900831,https://2gis.com/firm/70000001021397707
KFC,сеть ресторанов быстрого обслуживания,Быстрое питание; Доставка готовых блюд,"Сибирский переулок, 5а",,660068,,Ленинский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+07:00,84952408424,,,,,http://kfc.ru/?utm_source=2gis_mgcom&utm_medium,,,https://vk.com/kfcrussia,,,56.015133,92.953195,https://2gis.com/firm/70000001035249701
KFC,сеть ресторанов быстрого обслуживания,Быстрое питание,"Шахтёров, 69",,660020,Покровский,Центральный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 07:00-05:00; Вт: 07:00-05:00; Ср: 07:00-05:00; Чт: 07:00-05:00; Пт: 07:00-05:00; Сб: 07:00-05:00; Вс: 07:00-05:00,+07:00,84952408424,,,,,http://kfc.ru/?utm_source=2gis_mgcom&utm_medium,,,https://vk.com/kfcrussia,,,56.0452,92.89024,https://2gis.com/firm/70000001045257550
Love doner,кафе быстрого питания,Быстрое питание,"Диктатуры Пролетариата, 42/10",,660060,,Центральный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+07:00,,,,,,,,,,,,56.015623,92.859387,https://2gis.com/firm/70000001062563144
Тако поке,служба доставки,Доставка готовых блюд; Быстрое питание,"Водопьянова, 4",,660125,2-й микрорайон жилмассива Северный,Советский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 13:00-01:45; Вт: 13:00-01:45; Ср: 13:00-01:45; Чт: 13:00-01:45; Пт: 13:00-01:45; Сб: 13:00-01:45; Вс: 13:00-01:45,+07:00,83912745011,,,,,http://takopoke.ru,,,https://vk.com/takopoke,,,56.062839,92.909107,https://2gis.com/firm/70000001041513745
Киоск по продаже фастфудной продукции,,Быстрое питание,"Карла Маркса, 151/5 киоск",,660017,,Центральный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+07:00,,,,,,,,,,,,56.007312,92.851611,https://2gis.com/firm/985690700361028
Тук-тук,закусочная быстрого питания,Быстрое питание,"Дубровинского, 1и киоск",,660049,,Центральный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+07:00,89061902457,83912718388,,,,,,,,,,56.008655,92.886638,https://2gis.com/firm/70000001033643808
Вкусно — и точка,сеть предприятий общественного питания,Быстрое питание,"Партизана Железняка, 36а",,660022,Взлётка,Советский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,"Пн: 00:00-05:00, 06:00-24:00; Вт: 00:00-05:00, 06:00-24:00; Ср: 00:00-05:00, 06:00-24:00; Чт: 00:00-05:00, 06:00-24:00; Пт: 00:00-05:00, 06:00-24:00; Сб: 00:00-05:00, 06:00-24:00; Вс: 00:00-05:00, 06:00-24:00",+07:00,83919867891,,,,,http://vkusnoitochka.ru,,,https://vk.com/vkusno_itocka_sibir,,,56.033861,92.923228,https://2gis.com/firm/70000001044489206
Fire food,кафе быстрого питания,Быстрое питание,"Мужества, 23/1",,660020,Покровский,Центральный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+07:00,83912150140,,,,,,,,https://vk.com/firefood24,,,56.033364,92.88074,https://2gis.com/firm/70000001024730408
